Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
25-Aug-04,1076,1080,979,987.5,1004.163872,6536309,121534,6563525352,1858962,28.44,101,-88.5
26-Aug-04,992.7,996.7,975.3,978.55,985.2434664,2243016,44222,2209916859,497612,22.18,21.4,-14.15
27-Aug-04,982.45,982.45,958.55,962.35,969.4240077,1503317,31798,1457351591,263508,17.53,23.9,-20.1
30-Aug-04,967.7,989.75,965,986.25,982.6079325,1124819,23698,1105256072,220874,19.64,24.75,18.55
31-Aug-04,989,990,976,987.95,982.2582757,1135066,19871,1114927972,282277,24.87,14,-1.05
1-Sep-04,988.5,994.9,983.5,987.8,989.4575919,986320,17909,975921812,246817,25.02,11.4,-0.7
2-Sep-04,988,1004.85,988,993.45,997.2313044,1050395,23792,1047486776,171371,16.31,16.85,5.45
3-Sep-04,996,1000.25,989.75,997.95,996.7593195,526316,12411,524610378,101989,19.38,10.5,1.95
6-Sep-04,998,1004.85,993.15,995,999.1746742,401828,10817,401496361,93129,23.18,11.7,-3
7-Sep-04,997,1000,994.3,995.35,997.2970434,263645,7404,262932379,70956,26.91,5.7,-1.65
8-Sep-04,998,1000,991.25,993.5,995.0708385,257953,7258,256681508,62750,24.33,8.75,-4.5
9-Sep-04,993,998,978.25,980,984.7897857,412441,10947,406167684,142169,34.47,19.75,-13
10-Sep-04,980.25,990,979,988.75,984.9785933,299999,8913,295492593,58164,19.39,11,8.5
13-Sep-04,991.4,1015.65,991,1004.05,1007.406058,928204,25363,935078333,167195,18.01,24.65,12.65
14-Sep-04,1016,1018.8,1003.55,1015.45,1012.616466,806807,19608,816986053,118659,14.71,15.25,-0.55
15-Sep-04,1017,1019.9,1001,1005.7,1009.461434,543194,12999,548333394,118851,21.88,18.9,-11.3
16-Sep-04,1008,1015,1003,1008.1,1009.863979,432573,10310,436839891,131022,30.29,12,0.1
17-Sep-04,1014,1029.5,1011,1024.1,1020.783936,717816,22195,732735042,149867,20.88,18.5,10.1
20-Sep-04,1032.05,1038,1020,1022.85,1029.109777,510454,13422,525313202,123122,24.12,18,-9.2
21-Sep-04,1025,1049,1023,1045.6,1039.605847,735506,19272,764636338,144973,19.71,26,20.6
22-Sep-04,1050,1056,1037.25,1051.95,1048.002338,898813,18560,941958125,208106,23.15,18.75,1.95
23-Sep-04,1044.65,1048,1027,1029.45,1037.622445,802697,15051,832896424,306162,38.14,21,-15.2
24-Sep-04,1031,1040,1026.05,1028.95,1033.717578,390157,10274,403312149,50785,13.02,13.95,-2.05
27-Sep-04,1030,1032.25,1015,1020,1022.977988,431406,11731,441318842,69149,16.03,17.25,-10
28-Sep-04,1024,1027.8,1012.15,1015.15,1020.993733,394154,9127,402428764,89352,22.67,15.65,-8.85
29-Sep-04,1023.8,1032.65,1017.1,1030.25,1024.01234,488269,10692,499993481,103526,21.2,15.55,6.45
30-Sep-04,1032.35,1040.7,1024,1027.1,1034.591176,537627,10280,556224150,176197,32.77,16.7,-5.25
1-Oct-04,1029.8,1056.45,1027,1048.25,1044.468276,491947,15109,513823035,140836,28.63,29.45,18.45
4-Oct-04,1055,1081,1053,1076.8,1070.955487,615485,19885,659157038,226906,36.87,28,21.8
5-Oct-04,1080,1089.1,1075.6,1080.2,1083.495204,760301,17262,823782487,195801,25.75,13.5,0.2
6-Oct-04,1080,1103,1075.25,1081.15,1089.838945,816406,20385,889751054,157711,19.32,27.75,1.15
7-Oct-04,1085,1099.5,1084,1096.75,1092.650989,456215,12583,498483771,122011,26.74,15.5,11.75
8-Oct-04,1094.7,1110,1093,1097.8,1102.680168,456831,14849,503738484,94476,20.68,17,3.1
9-Oct-04,1099.1,1104,1094.9,1100.2,1099.566174,140462,4749,154447264,42103,29.97,9.1,1.1
11-Oct-04,1106,1198,1085.7,1089.4,1099.496272,585352,12690,643592342,180239,30.79,112.3,-16.6
12-Oct-04,1105,1140,1078.4,1085.05,1094.108262,858855,19655,939680351,198067,23.06,61.6,-19.95
14-Oct-04,1098,1123.95,1089,1116.6,1107.894989,898660,23690,995620911,219135,24.38,34.95,18.6
15-Oct-04,1122,1140.75,1117,1126.1,1128.940894,915218,22942,1033227027,240995,26.33,23.75,4.1
18-Oct-04,1132,1141.9,1126,1137.7,1135.652669,697306,14464,791897420,298072,42.75,15.9,5.7
19-Oct-04,1140.1,1148,1134.25,1140.45,1141.045922,426248,11214,486368542,76389,17.92,13.75,0.35
20-Oct-04,1145,1148.9,1127.1,1131.1,1140.323688,332376,9374,379016226,75074,22.59,21.8,-13.9
21-Oct-04,1135,1138.4,1122,1125.3,1129.792318,268872,9642,303769520,56766,21.11,16.4,-9.7
25-Oct-04,1125.2,1125.9,1111,1116.35,1118.031678,347623,10892,388653526,81862,23.55,14.9,-8.85
26-Oct-04,1116.35,1140,1116,1136.2,1129.633559,367014,10612,414591331,114122,31.09,24,19.85
27-Oct-04,1140,1148,1135,1140,1142.017618,356860,9346,407540407,106010,29.71,13,0
28-Oct-04,1148,1175,1143,1166.65,1164.91302,831120,20426,968182509,303291,36.49,32,18.65
29-Oct-04,1179,1179,1148,1154.35,1154.712144,301126,9027,347713849,61483,20.42,31,-24.65
1-Nov-04,1158.35,1173.25,1142,1169.55,1161.477084,238759,8286,277313107,40153,16.82,31.25,11.2
2-Nov-04,1176,1179.95,1154.2,1158.65,1164.244961,346867,9731,403838157,67280,19.4,25.75,-17.35
3-Nov-04,1155,1184.4,1155,1176.95,1175.63046,389108,12009,457447217,74458,19.14,29.4,21.95
4-Nov-04,1185,1188,1169.5,1171.75,1178.002835,234589,7333,276346507,47509,20.25,18.5,-13.25
5-Nov-04,1175,1180,1160,1163.9,1165.881624,257654,6465,300394064,80322,31.17,20,-11.1
8-Nov-04,1163,1189.95,1163,1184.4,1178.922035,390137,9838,459941106,137903,35.35,26.95,21.4
9-Nov-04,1178.4,1197.7,1177,1187.95,1190.009541,318835,9806,379416692,104996,32.93,20.7,9.55
10-Nov-04,1190,1199.9,1189.05,1193.8,1194.789101,193059,6569,230664789,38136,19.75,10.85,3.8
11-Nov-04,1198,1202.9,1192,1197.35,1198.466556,222299,7682,266417917,59291,26.67,10.9,-0.65
12-Nov-04,1201.25,1209,1192.05,1196.6,1200.135451,92639,4282,111179348,30496,32.92,16.95,-4.65
16-Nov-04,1196.85,1198,1184.1,1190.15,1190.686031,150241,5195,178889860,50071,33.33,13.9,-6.7
17-Nov-04,1194,1209.95,1192.5,1204.25,1204.368779,230783,7511,277947840,66330,28.74,17.45,10.25
18-Nov-04,1209,1235,1205.1,1230.95,1219.588439,379628,11883,462989920,131766,34.71,29.9,21.95
19-Nov-04,1233,1235.5,1210.35,1215.8,1225.493693,242333,7581,296977563,47186,19.47,25.15,-17.2
22-Nov-04,1209,1223.95,1195,1220.6,1213.275417,181659,5776,220402399,28205,15.53,28.95,11.6
23-Nov-04,1220,1241.25,1220,1235.9,1233.825231,172376,5504,212681858,38942,22.59,21.25,15.9
24-Nov-04,1237,1244.8,1229.65,1233.95,1238.10252,124941,4529,154689767,28526,22.83,15.15,-3.05
25-Nov-04,1234,1243,1205.55,1216.05,1224.5083,275497,5527,337348363,116009,42.11,37.45,-17.95
29-Nov-04,1216,1248,1210,1243.55,1229.442669,284237,6594,349453096,122403,43.06,38,27.55
30-Nov-04,1246,1287,1246,1275,1262.532572,388222,11170,490142920,117079,30.16,41,29
1-Dec-04,1280,1280,1259,1263.55,1266.571705,401606,9224,508662796,125680,31.29,21,-16.45
2-Dec-04,1270,1275,1239.1,1242.45,1250.409525,371447,9809,464460867,120866,32.54,35.9,-27.55
3-Dec-04,1247,1254.45,1222.1,1235.35,1238.108055,407672,10535,504741987,90828,22.28,32.35,-11.65
6-Dec-04,1255,1255,1208.8,1213.75,1222.497324,514355,13527,628797611,138720,26.97,46.2,-41.25
7-Dec-04,1219,1232.8,1214,1216.95,1222.144444,378563,8853,462658667,95165,25.14,18.8,-2.05
8-Dec-04,1210,1225.9,1193,1198.45,1209.760599,365270,8125,441889254,125963,34.48,32.9,-11.55
9-Dec-04,1205,1215.9,1205,1210.5,1211.027526,184405,5728,223319531,32074,17.39,10.9,5.5
10-Dec-04,1220,1236.7,1214.1,1225.4,1225.948504,265439,6762,325414545,92600,34.89,22.6,5.4
13-Dec-04,1228,1243,1226.15,1236.45,1234.593846,208463,5282,257367137,77245,37.05,16.85,8.45
14-Dec-04,1239,1243,1230,1232.15,1235.547478,87262,3128,107816344,24194,27.73,13,-6.85
15-Dec-04,1237.7,1254.9,1235,1246.3,1248.19582,172735,5748,215607105,69240,40.08,19.9,8.6
16-Dec-04,1251,1265,1239.2,1261.75,1252.628533,181661,5729,227553752,56243,30.96,25.8,10.75
17-Dec-04,1264,1273,1252,1257.55,1263.92113,207898,7700,262766675,58154,27.97,21,-6.45
20-Dec-04,1260,1268,1256,1260.05,1261.949514,98939,3813,124856023,25736,26.01,12,0.05
21-Dec-04,1265,1276.15,1263,1272.35,1270.426618,113652,4629,144386526,36148,31.81,13.15,7.35
22-Dec-04,1277.1,1278,1230,1241.55,1244.441637,339600,8366,422612380,90623,26.69,48,-35.55
23-Dec-04,1240,1248,1227.05,1230.55,1236.895272,130806,3943,161793323,23407,17.89,20.95,-9.45
